x,y
0.288642,0.333482
0.297705,0.335028
0.308938,0.336361
0.323249,0.337949
0.337700,0.340316
0.349298,0.341343
0.357760,0.340915
0.364416,0.340711
0.367298,0.342255
0.351557,0.344315
0.307886,0.347140
0.246896,0.351121
0.198771,0.351875
0.168326,0.350239
0.147394,0.351053
0.101869,0.346006
0.062464,0.340859
0.041507,0.338132
0.029128,0.336384
0.023605,0.334320
0.019801,0.333451
0.017266,0.332928
0.014852,0.331333
0.013645,0.330412
0.012388,0.329395
0.011425,0.328526
0.010576,0.326610
0.009681,0.324998
0.007478,0.323724
0.004495,0.322435
0.002354,0.321392
0.000330,0.320395
-0.000872,0.319990
-0.001791,0.320339
-0.002718,0.320945
-0.003358,0.321833
-0.002229,0.321893
-0.000719,0.321895
0.002055,0.321515
0.006338,0.320854
0.011563,0.320154
0.016724,0.320089
0.021426,0.320370
0.032288,0.322817
0.080032,0.331533
0.137075,0.340186
0.175736,0.344641
0.199963,0.345807
0.214668,0.346347
0.223105,0.346115
0.227941,0.344372
0.231151,0.343394
0.257564,0.338661
0.290345,0.333094
0.312656,0.329088
0.327252,0.326771
0.336048,0.323909
0.342007,0.323278
0.345575,0.321400
0.364290,0.321027
0.386014,0.318799
0.401088,0.314297
0.411818,0.309290
0.418938,0.305468
0.423167,0.303112
0.426732,0.301887
0.428686,0.302146
0.429949,0.303503
0.431194,0.303821
0.442859,0.305036
0.461949,0.306317
0.478942,0.307385
0.491701,0.308624
0.500402,0.309604
0.506804,0.309082
0.511388,0.308115
0.514793,0.307557
0.517946,0.307473
0.520036,0.308517
0.521748,0.310524
0.523140,0.312318
0.524249,0.313796
0.529851,0.315539
0.536460,0.316798
0.541497,0.316991
0.546158,0.317086
0.549591,0.316255
0.552665,0.316276
0.555090,0.316239
0.556875,0.317070
0.558338,0.317855
0.559438,0.318649
0.566176,0.318965
0.575334,0.320402
0.583601,0.321422
0.590434,0.322175
0.595987,0.322510
0.600376,0.322667
0.606498,0.321974
0.641375,0.321356
0.702126,0.319800
0.749556,0.317189
0.778354,0.313697
0.794845,0.308746
0.803980,0.307968
0.810273,0.307489
0.814203,0.307140
0.843739,0.307415
0.888267,0.307373
0.921560,0.309574
0.942156,0.310505
0.954356,0.311806
0.961743,0.312830
0.965496,0.313922
0.967129,0.313244
0.968201,0.313925
0.969495,0.313657
0.969804,0.313347
0.973749,0.315598
0.977537,0.318895
0.980573,0.320594
0.982979,0.321918
0.985493,0.322980
0.987584,0.323581
0.989267,0.323875
0.990661,0.323953
0.987621,0.323713
0.985185,0.323872
0.981483,0.324171
0.976155,0.324586
0.970786,0.324307
0.966140,0.324501
0.961937,0.324350
0.958051,0.324538
0.949870,0.325060
0.907371,0.329559
0.853093,0.333325
0.812801,0.337235
0.787779,0.339800
0.772834,0.339976
0.763405,0.337310
0.748888,0.338138
0.700579,0.338429
0.591731,0.343066
0.517463,0.341630
0.479836,0.339624
0.458635,0.336907
0.447383,0.337132
0.441809,0.338940
0.438587,0.339142
0.438755,0.342308
0.425323,0.344874
0.370137,0.350496
0.301036,0.354560
0.259229,0.361862
0.236111,0.366527
0.223744,0.365801
0.217144,0.367770
0.195250,0.372522
0.152549,0.377928
0.117284,0.381715
0.095869,0.381648
0.083446,0.380729
0.077225,0.381085
0.073177,0.379655
0.068659,0.379800
0.055600,0.378561
0.043523,0.376813
0.035478,0.377202
0.029008,0.375511
0.024401,0.373722
0.021607,0.372857
0.019093,0.371852
0.017342,0.371234
0.016138,0.371049
0.014713,0.370742
0.014264,0.370238
0.013656,0.369422
0.013029,0.369054
0.012131,0.368282
0.015959,0.367658
0.024053,0.366887
0.036337,0.365174
0.048318,0.362772
0.058648,0.360423
0.067188,0.358388
0.073632,0.356780
0.102362,0.357553
0.169738,0.357528
0.226872,0.354922
0.261378,0.353601
0.281072,0.351433
0.292502,0.349770
0.298913,0.347964
0.304806,0.346494
0.350701,0.340692
0.396041,0.333974
0.425046,0.331015
0.442887,0.328778
0.451841,0.329024
0.457543,0.327995
0.461346,0.329189
0.464055,0.330190
0.465915,0.330685
0.466668,0.330670
0.467365,0.331029
0.467786,0.331137
0.468095,0.330736
0.479274,0.333563
0.507696,0.341324
0.536901,0.349118
0.559821,0.354708
0.575141,0.356943
0.584905,0.360166
0.591466,0.362507
0.595749,0.362134
0.599264,0.365354
0.592665,0.368982
0.650203,0.376906
0.659469,0.372292
0.667111,0.369458
0.672178,0.368263
0.675607,0.366988
0.677799,0.365537
0.679257,0.364508
0.680866,0.363650
0.681892,0.362216
0.682660,0.361477
0.683394,0.361167
0.684042,0.360385
0.684642,0.359430
0.684989,0.358589
0.694714,0.358671
0.714640,0.359295
0.734479,0.360172
0.750589,0.361326
0.762368,0.361997
0.771252,0.362421
0.777869,0.361247
0.782315,0.359378
0.785015,0.358685
0.787306,0.358034
0.788724,0.357925
0.789593,0.357236
0.743213,0.380825
0.732926,0.388640
0.749689,0.380367
0.737804,0.376312
0.725502,0.372057
0.714734,0.370177
0.706054,0.367889
0.699659,0.364843
0.694171,0.363534
0.689553,0.361610
0.701419,0.364708
0.755366,0.376314
0.844989,0.393783
0.909900,0.405349
0.948261,0.410178
0.968120,0.413629
0.977585,0.414020
0.983851,0.414295
0.986812,0.415285
0.988596,0.415423
0.990013,0.415428
0.990469,0.415614
0.990837,0.415099
0.984537,0.411595
0.980856,0.410013
0.976594,0.408350
0.970932,0.405152
0.964484,0.401116
0.957830,0.397454
0.948905,0.394711
0.898058,0.389323
0.801776,0.379579
0.727505,0.370772
0.687186,0.365676
0.665244,0.362737
0.632408,0.358510
0.576241,0.349396
0.511642,0.347507
0.476476,0.348143
0.457904,0.347410
0.448072,0.346158
0.424622,0.348252
0.339879,0.350357
0.211800,0.356835
0.137659,0.361073
0.103011,0.360303
0.088075,0.362323
0.080569,0.362637
0.077686,0.363021
0.075456,0.363926
0.074446,0.364443
0.074190,0.365143
0.073904,0.365784
0.062208,0.369760
0.049177,0.374074
0.039949,0.378465
0.033023,0.381887
0.028063,0.383812
0.025002,0.385858
0.022509,0.387626
0.020679,0.388558
0.019922,0.389453
0.019504,0.390419
0.019101,0.391046
0.018768,0.391491
0.018256,0.391677
0.018012,0.391789
0.017812,0.392085
0.017465,0.392197
0.016937,0.392131
0.016949,0.394928
-0.000938,0.409609
0.005678,0.415072
0.018844,0.423350
0.024689,0.424000
0.029874,0.423657
0.033959,0.422852
0.036964,0.422083
0.039246,0.421569
0.041002,0.421321
0.042652,0.420555
0.044175,0.419909
0.045464,0.419330
0.046643,0.419548
0.047545,0.418993
0.048822,0.418528
0.049879,0.418125
0.050930,0.417787
0.052037,0.417531
0.052741,0.417037
0.053577,0.416596
0.054485,0.416419
0.059632,0.414984
0.066101,0.412265
0.071774,0.408133
0.076337,0.405083
0.080331,0.402840
0.084083,0.401778
0.086751,0.399526
0.089889,0.399120
0.091649,0.397780
0.093084,0.397021
0.094208,0.397014
0.095923,0.396891
0.100119,0.398117
0.106572,0.401473
0.112230,0.404978
0.117174,0.408578
0.122087,0.411549
0.126034,0.414174
0.128883,0.416531
0.134966,0.419667
0.139695,0.421076
0.141744,0.419473
0.142591,0.416854
0.143329,0.414229
0.143680,0.411446
0.164966,0.407997
0.199315,0.404740
0.227870,0.400185
0.248009,0.396704
0.261502,0.393039
0.269840,0.390024
0.274833,0.386331
0.284596,0.385054
0.318129,0.383765
0.349833,0.379964
0.372533,0.378163
0.386919,0.378861
0.395759,0.378931
0.401758,0.380040
0.405846,0.380783
0.424181,0.383066
0.489160,0.383366
0.549435,0.382246
0.584629,0.379572
0.606003,0.378947
0.618038,0.378628
0.624415,0.378667
0.628450,0.377299
0.630397,0.376972
0.631628,0.376269
0.631836,0.375940
0.632228,0.375574
0.635428,0.375289
0.675305,0.377278
0.742236,0.376671
0.792954,0.376232
0.824375,0.376762
0.842536,0.376226
0.852882,0.376556
0.858301,0.376653
0.861883,0.375504
0.863596,0.375300
0.864737,0.375009
0.865201,0.374953
0.865056,0.374742
0.865731,0.378165
0.888991,0.401364
0.903620,0.399869
0.912994,0.397912
0.918798,0.397095
0.923294,0.396792
0.926830,0.396218
0.929239,0.395485
0.931038,0.395304
0.932096,0.395194
0.932931,0.394878
0.933486,0.394904
0.933988,0.394853
0.934089,0.394623
0.908543,0.401835
0.923327,0.404776
0.918912,0.402268
0.912789,0.398374
0.906467,0.393847
0.900186,0.389051
0.894581,0.385098
0.890274,0.381937
0.887012,0.379158
0.884412,0.377518
0.882496,0.376441
0.880746,0.375767
0.879404,0.375220
0.883258,0.377648
0.885706,0.379103
0.890571,0.381356
0.896928,0.384563
0.903549,0.388113
0.909798,0.390910
0.914826,0.392225
0.918763,0.394129
0.922090,0.396054
0.924657,0.397234
0.926697,0.397252
0.933736,0.398882
0.941480,0.400864
0.947686,0.402715
0.952080,0.404266
0.955148,0.405479
0.957569,0.406278
0.959488,0.407225
0.961317,0.407338
0.962580,0.407863
0.965492,0.435488
0.963250,0.435749
0.962126,0.434191
0.960475,0.431294
0.958209,0.427850
0.955775,0.424493
0.953342,0.420858
0.951237,0.418636
0.949999,0.416356
0.948897,0.414235
0.947928,0.412251
0.947083,0.410429
0.946330,0.409022
0.945762,0.408068
0.943435,0.407155
0.920683,0.409453
0.887853,0.413695
0.860056,0.414895
0.839863,0.414407
0.825330,0.414314
0.813128,0.414163
0.769428,0.409324
0.637919,0.404569
0.536609,0.406731
0.486055,0.405292
0.461673,0.404067
0.447735,0.404599
0.379053,0.407090
0.236184,0.408068
0.112559,0.416220
0.060783,0.417813
0.038901,0.419029
0.030537,0.420728
0.026351,0.421328
0.024480,0.422678
0.023199,0.422566
0.021654,0.421421
0.020886,0.420148
0.020672,0.419060
0.020325,0.418883
0.020191,0.418023
0.020316,0.417452
0.020558,0.416716
0.020646,0.416584
0.020529,0.416467
0.022082,0.416668
0.023675,0.417007
0.026624,0.417413
0.030478,0.417432
0.034616,0.417463
0.038047,0.416941
0.041087,0.416623
0.043826,0.416399
0.046219,0.416257
0.061276,0.416393
0.122234,0.419441
0.188201,0.420617
0.230503,0.420956
0.254448,0.419595
0.268674,0.418648
0.276618,0.416729
0.281732,0.415732
0.284425,0.414815
0.286314,0.414191
0.287899,0.414220
0.288930,0.414170
0.298141,0.413901
0.318621,0.412704
0.338569,0.409591
0.353858,0.407799
0.365345,0.405819
0.373178,0.403942
0.378768,0.403249
0.382438,0.402578
0.402750,0.402070
0.426322,0.403024
0.443918,0.402429
0.456435,0.403568
0.464700,0.404369
0.469682,0.405201
0.473716,0.405427
0.476793,0.405099
0.479228,0.404593
0.480564,0.404032
0.481935,0.403031
0.482586,0.402798
0.482930,0.402153
0.483198,0.401683
0.495601,0.404419
0.524454,0.411213
0.552302,0.417690
0.573490,0.422018
0.588726,0.424281
0.598254,0.424979
0.604248,0.426125
0.608555,0.427308
0.612015,0.427777
0.613367,0.428241
0.614723,0.428644
0.615651,0.428328
0.616356,0.427733
