Pos x,Pos y,Pos z,Rot x,Rot y,Rot z
-39.928719,61.456287,544.519104,0.204212,0.038854,0.088795
-39.176579,59.611198,545.937988,0.375217,0.042091,0.086186
-38.885345,57.695194,546.669006,0.453652,0.043085,0.088590
-38.841820,56.289154,547.903809,0.479081,0.044628,0.091594
-38.881695,55.201275,548.696777,0.477547,0.044209,0.092538
-38.942997,54.281811,549.287292,0.476366,0.043053,0.092862
-39.114319,53.279366,549.549500,0.479077,0.042798,0.095183
-39.298859,52.175682,549.663330,0.479702,0.043505,0.097827
-39.521561,51.103470,549.919800,0.475638,0.043388,0.097882
-39.825153,49.883373,549.459778,0.465350,0.038543,0.096313
-40.264694,48.790581,550.508911,0.462939,0.038298,0.096507
-40.697201,47.606831,551.989502,0.462303,0.037550,0.098494
-41.248158,46.708218,554.706116,0.448123,0.037217,0.100533
-41.696976,45.316284,556.882935,0.440166,0.037106,0.100427
-42.232483,43.300175,558.097656,0.431615,0.039746,0.105607
-43.064678,41.655220,560.529053,0.387841,0.040035,0.115722
-43.562775,39.924839,562.834167,0.379488,0.041812,0.117941
-44.113129,38.855373,566.000610,0.371192,0.043378,0.119884
-44.696014,37.592144,566.712280,0.368607,0.045282,0.121938
-45.256618,36.773285,568.453125,0.370147,0.045816,0.120384
-45.857864,36.044720,569.594788,0.368423,0.047292,0.121005
-46.390129,35.403816,570.933167,0.372300,0.049031,0.121523
-46.891449,34.851532,572.195068,0.373103,0.048999,0.121702
-47.324104,34.052780,572.523987,0.375018,0.050052,0.122145
-47.656841,33.663574,573.453247,0.373749,0.049484,0.121983
-48.105995,33.131752,573.770203,0.365175,0.049946,0.121923
-48.546463,32.622498,573.987610,0.361833,0.050754,0.124082
-49.084435,32.119125,574.304321,0.353028,0.050978,0.124946
-49.624615,31.971949,576.323730,0.351989,0.053715,0.128192
-50.161804,31.372322,576.331238,0.346930,0.058988,0.133315
-50.551182,30.987654,576.694702,0.340863,0.060440,0.135229
-50.945045,30.571339,577.299072,0.337728,0.064345,0.138874
-51.189972,30.155575,577.417542,0.328855,0.067655,0.141164
-51.170677,29.778467,577.696289,0.322708,0.067718,0.140406
-51.055626,29.356838,577.962280,0.322406,0.069710,0.141357
-50.882027,29.248447,578.831787,0.322296,0.070099,0.140759
-50.492767,28.932049,579.065186,0.318455,0.070549,0.139685
-49.940819,28.928904,579.598083,0.314227,0.069190,0.136292
-49.266705,29.034393,580.642578,0.314622,0.067310,0.131566
-48.573257,28.822039,580.433716,0.313788,0.064437,0.129472
-47.875771,29.016678,581.329041,0.314705,0.063960,0.124561
-47.097076,29.139624,581.665588,0.312680,0.063867,0.121071
-46.242573,29.158993,580.735596,0.307912,0.062653,0.117733
-45.474438,29.184956,579.903015,0.304202,0.062345,0.113718
-44.730522,29.433281,579.472290,0.300484,0.061605,0.110094
-43.814556,29.519371,578.167725,0.297218,0.059659,0.102926
-43.167736,29.941811,578.523071,0.297077,0.058424,0.100660
-42.447769,30.075823,577.705811,0.297610,0.058504,0.097682
-41.790539,30.331861,577.523560,0.292929,0.054037,0.092210
-41.079102,30.328897,576.295410,0.294689,0.052761,0.086560
-40.492271,30.631866,575.472046,0.288328,0.052341,0.080901
-39.837574,30.808098,574.723022,0.288046,0.048738,0.075557
-39.191181,30.801777,574.219666,0.290323,0.049148,0.071943
-38.462460,30.777998,573.688293,0.294889,0.046757,0.066481
-37.646805,31.055859,572.902832,0.298204,0.045837,0.061494
-36.454762,31.303406,571.336853,0.302151,0.044040,0.050917
-35.222866,31.578001,569.870728,0.310500,0.040874,0.042914
-33.697495,31.789314,567.958862,0.318773,0.037007,0.026952
-32.089596,32.278328,566.503906,0.322086,0.030908,0.011059
-30.410023,32.707745,565.131470,0.324844,0.025021,-0.007357
-28.759708,33.231094,564.177063,0.328531,0.017955,-0.020956
-27.061539,33.617466,562.749451,0.326331,0.010799,-0.036282
-25.356422,33.956921,561.433533,0.324971,-0.000343,-0.050683
-23.789799,34.355042,560.358521,0.316806,-0.005327,-0.058783
-22.202385,34.790825,560.054504,0.317767,-0.006845,-0.063359
-20.626150,35.154144,559.771790,0.325752,-0.007517,-0.061832
-18.975153,35.376591,558.507202,0.327554,-0.009591,-0.067447
-17.185884,35.600586,556.946655,0.328542,-0.011752,-0.077213
-15.314760,35.899567,555.719482,0.330074,-0.014884,-0.089426
-13.161866,36.353500,554.632568,0.330768,-0.016281,-0.097831
-10.780767,36.679234,552.997253,0.334473,-0.018531,-0.104237
-8.040554,36.820034,551.518494,0.361254,-0.023320,-0.113550
-5.017655,37.113342,550.273560,0.376785,-0.032606,-0.128834
-1.889666,37.592659,550.005127,0.383164,-0.040173,-0.139278
1.354096,37.905010,548.809204,0.378413,-0.047803,-0.154952
4.675127,38.179024,548.165039,0.386684,-0.055587,-0.167428
7.973199,38.305672,547.060547,0.391390,-0.066920,-0.179586
11.306582,38.657501,547.281494,0.401410,-0.079897,-0.195582
14.465555,38.947014,547.229370,0.403192,-0.088660,-0.212111
17.365694,39.160706,546.979980,0.400195,-0.096566,-0.225879
20.003006,39.301136,546.685181,0.398730,-0.101454,-0.235315
22.286568,39.385796,546.523682,0.394522,-0.102950,-0.240715
24.247101,39.553528,546.777832,0.393294,-0.107492,-0.245532
25.777132,39.469460,546.331177,0.390062,-0.107337,-0.246170
27.076096,39.355492,545.907166,0.380747,-0.105686,-0.244923
28.176292,39.233501,546.217102,0.369300,-0.103551,-0.243388
29.011227,39.137825,547.313049,0.347903,-0.100620,-0.241169
29.605227,38.992737,547.728271,0.339650,-0.098863,-0.240338
30.002277,38.773415,547.069031,0.342806,-0.098022,-0.238701
30.386703,38.631691,546.524719,0.343498,-0.097834,-0.237266
30.835857,38.523659,545.613220,0.341134,-0.095628,-0.235646
31.208534,38.608070,545.224731,0.340483,-0.094469,-0.235283
31.486309,38.498295,544.244080,0.339726,-0.092437,-0.234308
31.769619,38.414555,543.653198,0.339506,-0.091143,-0.233069
32.045029,38.417423,543.215271,0.335393,-0.090495,-0.233072
32.242149,38.380424,542.797607,0.334394,-0.090493,-0.232630
32.326771,38.334171,542.594604,0.334011,-0.090704,-0.232322
32.327450,38.248558,542.375427,0.333357,-0.090002,-0.231707
32.240707,38.312984,542.403442,0.330070,-0.089685,-0.231170
32.106670,38.258541,542.254883,0.328357,-0.088371,-0.230908
31.923954,38.179001,541.981812,0.327349,-0.087325,-0.230549
31.716585,38.060078,541.693970,0.325114,-0.085838,-0.228973
31.554777,37.830257,542.007690,0.316030,-0.083247,-0.227125
31.497101,37.755287,543.079346,0.312490,-0.081423,-0.224467
31.235245,37.483997,542.313232,0.310983,-0.080115,-0.221628
31.014111,37.382568,541.713684,0.311272,-0.078694,-0.220006
30.847420,37.488037,541.685303,0.312386,-0.076148,-0.218394
30.591000,37.291672,540.683777,0.315070,-0.075818,-0.217015
30.365829,37.058315,539.588562,0.317459,-0.075050,-0.215846
30.147793,37.089035,539.249207,0.317514,-0.074243,-0.215067
30.058411,37.030201,538.961548,0.318868,-0.073974,-0.214889
29.954662,37.034119,538.758423,0.315275,-0.072522,-0.213202
29.893236,36.939491,538.605957,0.318035,-0.072072,-0.213404
29.764818,36.671638,538.005920,0.321918,-0.072025,-0.213772
29.557652,36.548157,537.794861,0.323605,-0.071783,-0.212901
29.428478,36.767380,538.588257,0.321830,-0.069441,-0.212350
29.179302,36.861107,538.435913,0.316980,-0.067533,-0.210825
28.950806,36.747482,537.927246,0.313006,-0.066176,-0.209813
28.655783,36.774132,538.233276,0.312459,-0.063119,-0.208612
28.313944,36.722031,538.463623,0.309878,-0.058282,-0.207002
28.045708,36.735443,539.062500,0.308212,-0.054324,-0.205866
27.664223,36.592735,538.933350,0.310655,-0.051817,-0.204981
27.361454,36.520195,539.281738,0.313179,-0.049971,-0.202629
27.001171,36.508224,539.911377,0.314835,-0.047216,-0.198913
26.587727,36.433472,539.898071,0.309040,-0.044356,-0.196373
26.094831,36.392426,540.424377,0.305848,-0.041024,-0.192208
25.661081,36.390083,541.182129,0.306580,-0.039295,-0.188601
25.238205,36.498936,542.299438,0.305815,-0.037155,-0.185489
24.629337,36.447838,542.986450,0.306395,-0.035480,-0.181602
24.067917,36.525959,543.845703,0.303139,-0.033373,-0.177286
23.373659,36.463604,543.862488,0.296844,-0.029939,-0.171960
22.696095,36.255173,543.696960,0.295665,-0.028009,-0.167994
22.008162,36.186333,543.922974,0.290623,-0.025367,-0.162990
21.363623,35.965744,543.796875,0.292301,-0.024759,-0.160193
20.685104,35.841011,543.831604,0.293158,-0.023477,-0.156984
19.964163,35.859398,544.793701,0.302161,-0.023714,-0.150448
19.220240,35.691376,544.617493,0.302128,-0.023895,-0.147471
