x,y
0.384049,0.267954
0.387341,0.265531
0.390664,0.263455
0.394205,0.261172
0.397321,0.259323
0.400005,0.259034
0.401755,0.258864
0.403175,0.258650
0.404861,0.258549
0.405967,0.259216
0.395748,0.286404
0.345803,0.404206
0.294601,0.520646
0.264572,0.590168
0.249154,0.622363
0.244372,0.637655
0.242721,0.645820
0.241753,0.648990
0.240265,0.651343
0.211286,0.669201
0.121388,0.751282
0.082190,0.747054
0.059591,0.741535
0.140103,0.684752
0.125585,0.692303
0.101660,0.708114
0.083355,0.720595
0.071154,0.725794
0.062322,0.727713
0.060374,0.726525
0.062893,0.721795
0.065582,0.717782
0.068332,0.714334
0.070749,0.711421
0.072254,0.709005
0.073604,0.706774
0.074923,0.705214
0.075499,0.704155
0.076107,0.702509
0.077152,0.701099
0.077835,0.700445
0.078341,0.704082
0.079086,0.711758
0.080263,0.721833
0.081935,0.732088
0.084084,0.741223
0.085424,0.749084
0.086693,0.754690
0.087340,0.758383
0.087461,0.760868
0.093174,0.770843
0.108194,0.788975
0.123697,0.807722
0.134881,0.821811
0.142303,0.831219
0.147237,0.837132
0.149917,0.841054
0.151607,0.845036
0.154498,0.849162
0.156371,0.858514
0.157592,0.869178
0.158348,0.876043
0.158737,0.881190
0.158684,0.884340
0.159289,0.887018
0.174047,0.889415
0.198848,0.894453
0.219945,0.898813
0.237180,0.903345
0.248507,0.904928
0.256903,0.906856
0.262130,0.907305
0.265459,0.907189
0.269537,0.908155
0.272884,0.908343
0.274030,0.908224
0.275388,0.908826
0.276595,0.907248
0.278211,0.905089
0.279299,0.902825
0.280185,0.901294
0.280838,0.899963
0.281663,0.898703
0.282189,0.897304
0.286058,0.896623
0.299537,0.894111
0.315601,0.891701
0.330235,0.889563
0.342566,0.887889
0.351058,0.887350
0.358442,0.887175
0.386978,0.887066
0.424370,0.877814
0.452159,0.875735
0.470432,0.873973
0.481574,0.873307
0.489620,0.867293
0.456245,0.909149
0.513327,0.887872
0.515756,0.888833
0.514829,0.885442
0.515331,0.887765
0.515739,0.886724
0.514782,0.884595
0.513715,0.880673
0.513251,0.879417
0.513758,0.878109
0.513899,0.878420
0.513375,0.876553
0.513841,0.876800
0.513325,0.876178
0.514789,0.877141
0.524417,0.878458
0.539675,0.881010
0.554107,0.883392
0.565767,0.885178
0.575366,0.885722
0.583316,0.888083
0.589115,0.888728
0.597454,0.891140
0.620846,0.894194
0.646324,0.898140
0.664033,0.902249
0.674630,0.904722
0.681277,0.906588
0.687589,0.907576
0.696281,0.911119
0.703742,0.914184
0.709680,0.916166
0.714078,0.917510
0.717779,0.918973
0.721125,0.919115
0.724956,0.919999
0.727600,0.920906
0.729258,0.921753
0.731427,0.921468
0.733193,0.921760
0.734186,0.922484
0.735207,0.922659
0.747497,0.920583
0.782477,0.910528
0.821993,0.895495
0.852628,0.883582
0.872749,0.877007
0.886102,0.872419
0.894877,0.870857
0.899266,0.870597
0.902222,0.868449
0.905179,0.868156
0.906435,0.867976
0.908062,0.869175
0.918380,0.873863
0.931174,0.878509
0.940873,0.883138
0.948115,0.887164
0.954211,0.889184
0.957833,0.890635
0.960556,0.891875
0.962622,0.891660
0.963742,0.891561
0.964190,0.892086
0.960972,0.886518
0.947802,0.860993
0.926066,0.816342
0.906635,0.776782
0.894181,0.750091
0.886450,0.732640
0.881367,0.721014
0.878948,0.714820
0.877422,0.711139
0.876993,0.707739
0.876639,0.705965
0.876721,0.704226
0.876840,0.702654
0.877203,0.701662
0.875158,0.706137
0.872767,0.711332
0.870053,0.717495
0.867704,0.723930
0.865067,0.730071
0.862532,0.735377
0.860373,0.739169
0.858896,0.742466
0.857688,0.744527
0.856908,0.746498
0.855649,0.748306
0.854715,0.749230
0.854553,0.750069
0.854273,0.750909
0.853919,0.752141
0.855822,0.753894
0.864197,0.757136
0.875894,0.760211
0.887762,0.763935
0.898216,0.767298
0.906079,0.769046
0.912100,0.769422
0.916648,0.769633
0.919426,0.769202
0.917462,0.770828
0.902714,0.771128
0.817539,0.772643
0.705374,0.772274
0.632325,0.773208
0.595181,0.776995
0.575625,0.777017
0.566691,0.778285
0.561721,0.777751
0.559265,0.774685
0.557030,0.771597
0.349598,1.016060
0.332474,0.996266
0.465880,0.835986
0.459497,0.806539
0.441853,0.791124
0.429940,0.789551
0.419484,0.788773
0.411755,0.788827
0.405659,0.786704
0.388476,0.788787
0.339611,0.786121
0.296988,0.783557
0.268098,0.781769
0.249244,0.780089
0.236904,0.779385
0.230292,0.780241
0.218720,0.782536
0.187180,0.786005
0.153220,0.787575
0.132379,0.790236
0.119285,0.793142
0.111089,0.792989
0.105847,0.791616
0.102478,0.789604
0.100825,0.789748
0.095484,0.789798
0.079416,0.785116
0.061890,0.776534
0.047832,0.768473
0.038303,0.762679
0.031975,0.758764
0.026733,0.755879
0.022433,0.753313
0.019887,0.752443
0.017767,0.750566
0.016208,0.748872
0.015183,0.748240
0.014556,0.748807
0.014142,0.748708
0.013836,0.748698
0.013656,0.748741
0.013657,0.748351
0.012522,0.745506
0.010129,0.738823
0.007284,0.732533
0.004593,0.725266
0.002514,0.718821
0.000434,0.712520
-0.000810,0.708199
-0.001608,0.704632
-0.002095,0.702222
0.000469,0.699420
0.011520,0.690754
