x,y
0.392859,0.263063
0.392981,0.262948
0.393102,0.262816
0.393185,0.262653
0.393247,0.262610
0.393268,0.262775
0.393274,0.262562
0.393392,0.262591
0.393582,0.262549
0.393729,0.262630
0.388639,0.261112
0.318537,0.232204
0.203591,0.180511
0.128126,0.145749
0.087342,0.127697
0.066181,0.114553
0.055605,0.107260
0.050027,0.103906
0.038724,0.089413
0.026878,0.072551
0.020198,0.062886
0.016368,0.057969
0.013946,0.053660
0.012397,0.050189
0.011136,0.048746
0.011303,0.048194
0.011267,0.048593
0.011480,0.048514
0.012431,0.047401
0.014540,0.043768
0.016796,0.039722
0.019189,0.035665
0.021625,0.031825
0.023543,0.029284
0.025106,0.027606
0.026683,0.027284
0.028087,0.026624
0.028967,0.026774
0.029706,0.026953
0.030571,0.027482
0.045198,0.029539
0.079393,0.034214
0.111948,0.036216
0.137530,0.039753
0.156332,0.041361
0.168345,0.043301
0.175411,0.045377
0.179652,0.046089
0.182487,0.046312
0.184934,0.046358
0.186536,0.046091
0.195892,0.077899
0.209488,0.074875
0.225688,0.093360
0.244042,0.079740
0.259897,0.065565
0.273253,0.054013
0.284186,0.046982
0.297115,0.042700
0.321884,0.039277
0.343853,0.038272
0.358517,0.039307
0.367252,0.040257
0.373028,0.039970
0.377786,0.039866
0.381141,0.039448
0.383049,0.037811
0.361587,0.056485
0.350165,0.124445
0.372435,0.112581
0.419971,0.066938
0.433844,0.056094
0.445396,0.049406
0.453957,0.044389
0.460671,0.039387
0.464766,0.035871
0.481127,0.033538
0.529395,0.029588
0.574964,0.025873
0.604912,0.026735
0.623982,0.027850
0.634591,0.029611
0.641576,0.030801
0.646170,0.031768
0.648627,0.032610
0.650725,0.032408
0.652259,0.032967
0.653684,0.033661
0.654339,0.033878
0.655011,0.033679
0.655592,0.033687
0.655768,0.033383
0.655821,0.033153
0.655868,0.032940
0.660794,0.032862
0.706547,0.031445
0.809028,0.027872
0.890969,0.024832
0.938610,0.022450
0.963872,0.020583
0.976527,0.020077
0.982821,0.020318
0.987967,0.021022
0.989837,0.022241
0.990321,0.023109
0.990521,0.023528
0.990878,0.023438
0.991207,0.023397
0.988743,0.023671
0.985966,0.024392
0.984412,0.024936
0.983260,0.025400
0.981693,0.026097
0.979483,0.026808
0.990039,0.048122
0.981275,0.083398
0.985833,0.102207
0.989515,0.120143
0.991603,0.134183
0.993865,0.143576
0.995316,0.151401
0.993099,0.179589
0.991369,0.208690
0.990272,0.229506
0.989740,0.243878
0.990087,0.254084
0.989653,0.259391
0.989534,0.263529
0.989315,0.266613
0.988813,0.269024
0.988340,0.270651
0.988452,0.271593
0.988668,0.272247
0.988832,0.272173
0.988781,0.272047
0.988226,0.272363
0.958536,0.274048
0.818526,0.273488
0.587291,0.272930
0.464347,0.273139
0.414031,0.269596
0.393337,0.269540
0.384424,0.266170
0.379479,0.266291
0.353172,0.270095
0.290428,0.261684
0.215945,0.260436
0.175304,0.261184
0.154265,0.260864
0.143029,0.258616
0.136382,0.259135
0.111669,0.267322
0.084962,0.275453
0.069768,0.282914
0.059359,0.289539
0.053163,0.293525
0.048899,0.294586
0.046648,0.295305
0.045178,0.296010
0.043932,0.295877
0.038705,0.294706
0.031410,0.291845
0.025636,0.289784
0.021579,0.288277
0.018574,0.286163
0.016943,0.285027
0.015149,0.284280
0.013546,0.283912
0.012712,0.283297
0.011982,0.282607
0.011309,0.282424
0.011843,0.273906
0.012960,0.259449
0.014227,0.244459
0.015692,0.231474
0.017080,0.221418
0.017421,0.213580
0.017377,0.207588
0.017542,0.203899
0.017720,0.200503
0.018847,0.183157
0.021057,0.149853
0.022550,0.121793
0.022981,0.102134
0.024143,0.089042
0.025160,0.080861
0.026222,0.075367
0.026170,0.071752
0.026432,0.069330
0.027047,0.066629
0.027690,0.065246
0.028270,0.063494
0.028253,0.062198
0.027838,0.061035
0.028417,0.060582
0.012010,0.074972
0.018790,0.084427
0.043539,0.080612
0.053692,0.090739
0.065048,0.100238
0.075904,0.107014
0.084222,0.112407
0.090469,0.117287
0.096119,0.121138
0.153176,0.136465
0.236092,0.157024
0.294223,0.169502
0.325833,0.175834
0.344149,0.178748
0.354363,0.180305
0.360532,0.182170
0.363907,0.182399
0.366004,0.182692
0.370208,0.285078
0.252260,0.285966
0.250939,0.270156
0.287555,0.205597
0.284496,0.183513
0.280801,0.165169
0.276435,0.151876
0.272926,0.142313
0.270427,0.135915
0.272953,0.132044
0.289354,0.133085
0.305532,0.134603
0.319786,0.135992
0.331802,0.136759
0.341681,0.136545
0.349428,0.136138
0.336012,0.174953
0.349771,0.186065
0.359400,0.187862
0.382963,0.160917
0.389144,0.155538
0.394424,0.150353
0.398763,0.146959
0.402493,0.143862
0.405335,0.140002
0.407231,0.136880
0.408996,0.134494
0.410117,0.133418
0.410936,0.133078
0.414785,0.131618
0.441592,0.126358
0.476183,0.118466
0.502761,0.111361
0.521488,0.106832
0.534112,0.104865
0.541880,0.104111
0.546604,0.102909
0.549340,0.101858
0.552106,0.102010
0.564943,0.108839
0.588820,0.143078
0.591839,0.138871
0.594893,0.135435
0.597955,0.132757
0.600432,0.130490
0.602505,0.128954
0.604460,0.127265
0.606457,0.125416
0.607535,0.123935
0.608385,0.123080
0.608921,0.122704
0.609426,0.122260
0.609875,0.121960
0.610041,0.120831
0.610411,0.119724
0.610867,0.119253
0.611598,0.118865
0.611733,0.117976
0.612114,0.117377
0.615670,0.117734
0.625113,0.118770
0.636622,0.120061
0.647634,0.121853
0.656953,0.122539
0.663911,0.123761
0.670138,0.125018
0.674254,0.124723
0.677145,0.124960
0.689730,0.129260
0.734982,0.136278
0.783371,0.142129
0.816153,0.145519
0.836146,0.148078
0.849115,0.151166
0.855489,0.154000
0.859963,0.155208
0.861908,0.155260
0.926396,0.210411
0.945971,0.219923
0.961135,0.226892
0.972024,0.231557
0.980165,0.233616
0.986190,0.234793
0.990942,0.235137
0.991377,0.240915
0.990644,0.245779
0.989802,0.248900
0.989576,0.251552
0.989428,0.253198
0.989514,0.254352
0.990895,0.255084
0.992941,0.256314
0.994092,0.257216
0.992441,0.230912
0.989826,0.200845
0.986338,0.166053
0.984795,0.138052
0.984303,0.117584
0.983827,0.103198
0.983440,0.092511
0.982706,0.086271
0.981513,0.081066
0.981065,0.077112
0.973461,0.070476
0.964264,0.064302
0.957405,0.060939
0.952452,0.059550
0.948779,0.058894
0.945895,0.058744
0.943645,0.058492
0.942241,0.058883
0.941395,0.059267
0.941216,0.058759
0.941003,0.057814
0.923188,0.059597
0.884344,0.065316
0.846617,0.071460
0.819040,0.075457
0.799952,0.078837
0.789159,0.078991
0.781638,0.080303
0.775484,0.081224
0.772074,0.082983
0.770264,0.084031
0.768994,0.085246
0.768402,0.086454
0.767909,0.087087
0.767459,0.087099
0.712554,0.220978
0.686516,0.130741
0.673445,0.123268
0.661479,0.115682
0.651187,0.110731
0.643843,0.105542
0.638309,0.101707
0.634210,0.097995
0.631094,0.095519
0.628225,0.093270
0.627277,0.091338
0.612042,0.092895
0.570075,0.096849
0.527178,0.100610
0.497639,0.102168
0.478029,0.104154
0.465903,0.105695
0.458181,0.105118
0.453203,0.105370
0.450807,0.104858
0.448943,0.105052
0.448563,0.113561
0.363156,0.265940
0.376448,0.181193
0.362443,0.164037
0.351435,0.151286
0.344886,0.143060
0.339094,0.137136
0.336370,0.132841
0.333867,0.129423
0.331080,0.127155
0.323250,0.125072
0.270372,0.119924
0.199551,0.111402
0.150774,0.105108
0.123165,0.100701
0.108130,0.098927
0.098782,0.097942
0.092667,0.097836
0.089446,0.096535
0.061447,0.112482
0.028556,0.109236
0.040687,0.105737
0.036226,0.101000
0.032522,0.097102
0.029834,0.092692
0.027915,0.088986
0.025813,0.086209
0.024488,0.083750
0.023921,0.082205
0.003433,0.248816
0.019072,0.154539
0.020247,0.132208
0.021966,0.109678
0.024223,0.093265
0.026690,0.082338
0.028456,0.075477
0.030170,0.070434
0.031473,0.067346
0.032733,0.064864
0.033412,0.063304
0.034179,0.062123
0.034355,0.061224
0.034545,0.060202
0.035062,0.059650
-0.110431,0.727232
-0.088095,0.612406
-0.001957,0.224461
0.015608,0.122996
0.024266,0.073427
0.027939,0.052661
0.029192,0.045104
0.030491,0.040249
0.031990,0.035171
0.032847,0.031680
0.040630,0.036626
0.079368,0.052660
0.123775,0.069501
0.158505,0.083813
0.182249,0.093715
0.198244,0.100611
0.208384,0.104549
0.215581,0.107449
0.221036,0.109252
0.223984,0.109769
0.225353,0.109391
0.279415,0.069918
0.324430,0.086216
0.342658,0.078954
0.358280,0.075194
0.369811,0.072420
0.377348,0.069484
0.382850,0.067010
0.387640,0.065370
0.391311,0.064124
0.393238,0.062116
0.394997,0.061124
0.396540,0.060773
0.393718,0.059704
0.391170,0.058956
0.389402,0.058128
0.387997,0.057321
0.386340,0.056426
0.384712,0.055415
0.383560,0.055054
0.410138,0.087676
0.421308,0.079107
0.434938,0.072411
0.447514,0.065986
0.457443,0.059829
0.465659,0.056247
0.471613,0.054499
0.475789,0.055069
0.487397,0.056190
0.525706,0.054341
0.562220,0.053578
0.588323,0.054592
0.606245,0.053841
0.617083,0.054895
0.623355,0.056605
0.627319,0.057596
0.629902,0.059042
0.631145,0.060000
0.632366,0.060660
0.633309,0.060925
0.633799,0.060683
0.633997,0.059821
0.654094,0.050759
0.663038,0.051080
0.674278,0.051896
0.684637,0.052327
0.693816,0.053130
0.701530,0.054477
0.724320,0.053320
0.791215,0.047745
0.853408,0.040930
0.891749,0.037331
0.912930,0.034979
0.924860,0.035732
0.931271,0.036807
0.935164,0.037226
0.937626,0.037001
0.939225,0.037347
0.940168,0.037799
0.940591,0.038363
0.951131,0.041111
0.963830,0.043716
0.974311,0.046099
0.982232,0.047785
0.987375,0.049029
0.991515,0.050411
0.992788,0.070620
0.989983,0.113197
0.986781,0.154079
0.984266,0.184572
0.982666,0.204701
0.980335,0.218267
0.978497,0.226948
0.977936,0.232499
0.977053,0.236315
0.977193,0.239154
0.977910,0.240428
0.979561,0.240547
0.973577,0.239555
0.927175,0.236330
0.850227,0.230939
0.790027,0.226279
0.751497,0.223227
0.730449,0.221792
0.719120,0.221305
