Pos x,Pos y,Pos z,Rot x,Rot y,Rot z
-17.621151,23.005592,604.082275,0.409679,-0.015652,-0.044223
-18.950747,23.164520,599.648926,0.347634,-0.012350,-0.019019
-19.089386,23.207731,599.113647,0.340984,-0.011642,-0.022108
-19.274467,23.281683,598.465332,0.333809,-0.009214,-0.022936
-19.543480,23.391481,598.031494,0.325927,-0.004412,-0.023198
-19.888044,23.473757,597.112427,0.322341,-0.001030,-0.020976
-20.303867,23.553644,595.599365,0.323811,0.001342,-0.020067
-20.737474,23.865356,593.655701,0.328446,0.003160,-0.018746
-21.268354,24.399357,590.953552,0.317349,0.006114,-0.017699
-21.917370,25.153603,587.312622,0.312921,0.006455,-0.015146
-22.557571,26.140541,582.453125,0.305365,0.005347,-0.015412
-23.242439,27.083088,574.272278,0.268330,-0.000017,-0.016875
-24.259321,28.503084,566.681641,0.260222,-0.001964,-0.015602
-25.290598,29.954876,557.361267,0.258468,-0.002933,-0.015878
-26.467804,31.730747,548.613892,0.264450,-0.005829,-0.015253
-27.668549,32.919899,536.298035,0.258161,-0.008050,-0.013561
-28.665455,34.440941,524.567078,0.258294,-0.009360,-0.013662
-29.897644,35.819836,512.311401,0.241298,-0.010894,-0.011758
-30.780457,37.209251,499.402161,0.228033,-0.010205,-0.010787
-32.075783,38.707420,488.409485,0.209974,-0.009522,-0.008985
-33.281696,40.100288,477.779724,0.212724,-0.009194,-0.004333
-34.250515,41.353622,467.043396,0.210054,-0.009265,-0.001531
-34.991310,41.992920,455.646118,0.212448,-0.009244,0.001952
-35.687496,42.876549,444.613586,0.201186,-0.011636,0.000647
-36.412617,43.890991,434.595825,0.197919,-0.012521,0.002479
-37.296356,44.914803,425.337280,0.191319,-0.013448,0.002479
-37.741425,45.502018,415.611084,0.191363,-0.011599,0.003046
-38.349880,46.027351,406.186066,0.176821,-0.011045,0.001536
-38.867802,46.476166,397.773834,0.169104,-0.009404,0.002382
-39.540100,46.521149,388.882538,0.159935,-0.008272,0.001672
-39.979713,46.412025,379.929230,0.147507,-0.005306,0.001137
-40.480713,45.979034,371.343231,0.136821,-0.004821,0.001148
-40.947929,45.829002,364.304382,0.131673,-0.004914,0.000974
-41.677452,46.189480,358.890381,0.125794,-0.003622,0.000591
-42.518806,46.738861,354.933289,0.124331,-0.001866,0.000376
-43.138573,47.102089,350.572815,0.119833,0.002118,0.000367
-43.742699,47.176849,346.377014,0.117550,0.008088,0.001489
-44.007607,46.853378,340.402039,0.109966,0.010078,0.001647
-45.026115,47.545723,338.511993,0.110963,0.015369,0.002676
-45.464630,46.804863,333.868835,0.109176,0.019261,0.004640
-46.161648,46.370293,330.016113,0.109918,0.023641,0.006133
-46.677460,46.464443,326.919403,0.108103,0.024794,0.007957
-47.318092,45.466293,322.747009,0.105002,0.025453,0.009179
-47.755127,44.304153,318.315979,0.102325,0.025292,0.011594
-48.124550,43.347187,314.225159,0.090790,0.025962,0.011185
-48.381989,43.087059,311.207245,0.090124,0.023817,0.012754
-48.948242,42.291008,307.571106,0.083610,0.022841,0.012949
-49.600746,42.566010,305.673401,0.070410,0.022896,0.012272
-50.139992,42.657593,304.477264,0.070240,0.023452,0.013519
-50.188030,42.197983,301.735962,0.069070,0.023432,0.014045
-50.362076,41.363159,299.402832,0.071674,0.024288,0.015972
-50.259098,40.948128,296.738708,0.071984,0.022344,0.016619
-50.576401,40.938080,295.862610,0.071267,0.019612,0.016362
-51.300282,41.197205,295.746338,0.072269,0.020986,0.018191
-51.843220,41.247353,295.100403,0.071513,0.021605,0.019191
-52.267216,40.424232,293.319031,0.072879,0.021466,0.019857
-52.983170,40.645538,293.642395,0.069832,0.022831,0.019581
-53.968201,40.733757,293.497742,0.072140,0.027220,0.020835
-54.743279,40.589638,292.924072,0.067554,0.032681,0.021545
-55.408043,40.536282,292.574036,0.065593,0.038594,0.022145
-55.995361,40.648643,292.382568,0.061018,0.042388,0.022098
-56.449158,40.719803,291.987915,0.058052,0.046390,0.021381
-56.950466,40.364697,291.157074,0.058417,0.050920,0.021755
-57.396324,40.585892,291.197754,0.058838,0.051723,0.020950
-57.754311,40.632217,290.579102,0.060499,0.053119,0.021643
-58.300232,41.832653,291.535919,0.061344,0.055486,0.019128
-58.707451,42.172684,291.611084,0.062444,0.058986,0.018004
-58.797768,41.917679,290.075928,0.065241,0.061512,0.016342
-59.025719,42.080612,289.756165,0.066438,0.062735,0.014323
-59.320374,42.610725,289.957947,0.066497,0.063587,0.013503
-59.404182,42.494152,289.332550,0.066298,0.065378,0.012903
-59.915913,42.778336,289.640930,0.066699,0.066845,0.013809
-59.959305,43.197472,289.726685,0.067990,0.067606,0.012879
-60.113029,43.681976,290.043579,0.070019,0.067756,0.013278
-60.008255,43.401505,290.114014,0.072242,0.068822,0.015862
-59.626732,42.854088,290.002655,0.083684,0.068678,0.019933
-58.531647,41.939919,287.658997,0.090602,0.066690,0.023996
-57.319145,42.336861,286.595123,0.094102,0.063545,0.021886
-56.005791,42.172626,284.765289,0.092124,0.059092,0.020586
-54.503063,42.696800,284.067627,0.096946,0.046781,0.018679
-53.567822,43.238426,284.686523,0.101426,0.039217,0.016283
-52.213036,43.465431,283.556030,0.099305,0.026012,0.015356
-50.751831,43.650650,282.917145,0.095787,0.016239,0.011116
-49.481056,44.455544,284.087952,0.094092,0.005753,0.009760
-47.388397,43.789581,282.348145,0.095299,-0.011078,0.011608
-45.670158,43.862888,282.968994,0.103238,-0.031081,0.011824
-43.456951,43.609909,282.584717,0.113169,-0.045771,0.010811
-41.747631,44.812683,284.144775,0.111796,-0.051909,0.009333
-39.689728,44.409050,283.444763,0.112591,-0.056916,0.008491
-37.936333,44.851151,284.140381,0.112658,-0.057169,0.005900
-35.967140,44.452728,283.826324,0.114912,-0.064245,0.003351
-34.318230,45.127296,285.130005,0.115615,-0.063852,-0.002580
-32.915943,45.361675,285.597443,0.115665,-0.068673,-0.004953
-31.365253,44.936981,284.968048,0.112875,-0.073424,-0.008615
-29.972223,44.419239,284.261475,0.109764,-0.077535,-0.012098
-28.750282,44.116577,284.010986,0.107648,-0.079499,-0.014396
-27.596869,44.275864,284.518158,0.106244,-0.078836,-0.018275
-26.492779,44.437614,285.064270,0.106788,-0.077393,-0.022782
-25.385647,44.120667,284.568726,0.102145,-0.078342,-0.024686
-24.032608,43.754295,283.860779,0.087854,-0.077920,-0.027317
-22.876923,43.486267,283.602112,0.090826,-0.078458,-0.026486
-21.239315,43.284584,283.417053,0.075618,-0.080844,-0.028766
-19.693714,43.253223,283.652313,0.075818,-0.081312,-0.034629
-18.133991,43.200649,284.840088,0.074358,-0.080780,-0.042008
-16.555286,43.162804,285.078400,0.070834,-0.082080,-0.049433
-14.859154,42.599789,284.583832,0.071539,-0.083884,-0.055593
-13.228746,42.948792,285.265381,0.066515,-0.090524,-0.062902
-11.576997,42.736984,285.259399,0.064172,-0.091530,-0.066971
-9.969957,42.520332,285.743958,0.067997,-0.097752,-0.071487
-8.229746,42.457741,285.898865,0.067915,-0.106446,-0.075809
-6.540813,43.414993,288.140442,0.070433,-0.111345,-0.078788
-4.755243,44.108582,290.781189,0.089385,-0.116959,-0.082427
-2.792231,44.357277,292.705139,0.105408,-0.122197,-0.089115
-0.877578,44.245506,293.588074,0.120324,-0.123717,-0.095361
0.906132,44.609291,295.257782,0.133180,-0.127400,-0.102226
2.290001,45.562859,297.577759,0.138678,-0.130285,-0.104237
3.747302,45.127274,297.286133,0.140076,-0.130835,-0.109243
5.120645,45.777390,298.687286,0.142064,-0.132963,-0.112367
6.548941,45.512497,298.486847,0.141518,-0.134956,-0.116336
8.079014,45.026169,298.507660,0.146243,-0.137024,-0.121524
9.374889,45.248798,299.255127,0.150326,-0.138629,-0.122346
11.185174,45.701782,300.744141,0.154513,-0.142019,-0.125112
13.283696,45.723076,301.597748,0.157579,-0.145603,-0.132178
15.158567,45.225307,301.535370,0.157318,-0.150932,-0.136110
17.117958,44.879097,301.866272,0.157840,-0.154408,-0.139887
19.034973,44.989674,303.601562,0.158642,-0.157733,-0.147123
21.014248,44.522366,303.936615,0.154464,-0.158747,-0.155479
22.827255,44.061142,303.666687,0.152186,-0.162030,-0.162830
24.607410,44.427887,304.805878,0.143322,-0.165950,-0.167786
26.517019,44.555405,305.585480,0.134702,-0.169174,-0.174816
27.960564,44.347107,305.836670,0.130388,-0.172261,-0.179694
29.430183,44.401798,307.097260,0.129125,-0.177550,-0.182510
30.589258,44.344460,308.040466,0.124483,-0.179703,-0.183114
31.361605,44.399689,308.605927,0.123176,-0.181140,-0.185630
31.951347,44.515251,309.281982,0.120571,-0.181382,-0.187596
32.180313,44.338379,309.426636,0.118403,-0.179702,-0.188006
32.350456,44.222378,309.650024,0.117705,-0.178595,-0.187770
32.512463,44.393013,310.463562,0.118698,-0.177478,-0.187831
32.621258,44.081425,310.292542,0.115797,-0.175622,-0.187202
32.844872,44.079578,310.860748,0.116167,-0.174467,-0.186731
32.787621,44.000267,311.615479,0.123694,-0.173932,-0.186397
33.018002,44.312737,312.365051,0.122806,-0.172538,-0.185621
